,season,name,shoots,position,salary
4106,2012-13,Ersan Ilyasova,Right,Power Forward,7900000
4107,2013-14,Ersan Ilyasova,Right,Power Forward,7900000
4108,2014-15,Ersan Ilyasova,Right,Power Forward,7900000
4109,2015-16,Ersan Ilyasova,Right,Power Forward,7900000
4110,2016-17,Ersan Ilyasova,Right,Power Forward,8400000
4111,2017-18,Ersan Ilyasova,Right,Power Forward,5434282
4112,2017-18,Ersan Ilyasova,Right,Power Forward,357454
4113,2014-15,Joe Ingles,Left,Power Forward and Small Forward,507336
4114,2015-16,Joe Ingles,Left,Power Forward and Small Forward,2250000
4115,2016-17,Joe Ingles,Left,Power Forward and Small Forward,2250000
4116,2017-18,Joe Ingles,Left,Power Forward and Small Forward,14136364
4117,2014-15,Damien Inglis,Right,Small Forward,820000
4118,2015-16,Damien Inglis,Right,Small Forward,855000
4119,2017-18,Andre Ingram,Right,Shooting Guard,13824
4120,2016-17,Brandon Ingram,Right,Small Forward,5281680
4121,2017-18,Brandon Ingram,Right,Small Forward,5519400
4122,2011-12,Kyrie Irving,Right,Point Guard,5144280
4123,2012-13,Kyrie Irving,Right,Point Guard,5530080
4124,2013-14,Kyrie Irving,Right,Point Guard,5607240
4125,2014-15,Kyrie Irving,Right,Point Guard,7070730
4126,2015-16,Kyrie Irving,Right,Point Guard,14746000
4127,2016-17,Kyrie Irving,Right,Point Guard,17638063
4128,2017-18,Kyrie Irving,Right,Point Guard,18868625
4129,2017-18,Jonathan Isaac,Right,Power Forward,4186320
4130,1999-00,Allen Iverson,Right,Shooting Guard and Point Guard,9000000
4131,2000-01,Allen Iverson,Right,Shooting Guard and Point Guard,10130000
4132,2001-02,Allen Iverson,Right,Shooting Guard and Point Guard,11250000
4133,2002-03,Allen Iverson,Right,Shooting Guard and Point Guard,12375000
4134,2003-04,Allen Iverson,Right,Shooting Guard and Point Guard,13500000
4135,2004-05,Allen Iverson,Right,Shooting Guard and Point Guard,14625000
4136,2005-06,Allen Iverson,Right,Shooting Guard and Point Guard,16453125
4137,2006-07,Allen Iverson,Right,Shooting Guard and Point Guard,17184375
4138,2007-08,Allen Iverson,Right,Shooting Guard and Point Guard,19012500
4139,2008-09,Allen Iverson,Right,Shooting Guard and Point Guard,20840625
4140,2009-10,Allen Iverson,Right,Shooting Guard and Point Guard,1029794
4141,2009-10,Allen Iverson,Right,Shooting Guard and Point Guard,161386
4142,2004-05,Royal Ivey,Right,Shooting Guard and Point Guard,425000
4143,2005-06,Royal Ivey,Right,Shooting Guard and Point Guard,641748
4144,2006-07,Royal Ivey,Right,Shooting Guard and Point Guard,744551
4145,2007-08,Royal Ivey,Right,Shooting Guard and Point Guard,826046
4146,2008-09,Royal Ivey,Right,Shooting Guard and Point Guard,854957
4147,2009-10,Royal Ivey,Right,Shooting Guard and Point Guard,1050000
4148,2010-11,Royal Ivey,Right,Shooting Guard and Point Guard,1200000
4149,2011-12,Royal Ivey,Right,Shooting Guard and Point Guard,1200000
4150,2012-13,Royal Ivey,Right,Shooting Guard and Point Guard,1223166
4151,2017-18,Wesley Iwundu,Right,Small Forward,1050000
4152,2005-06,Jarrett Jack,Right,Shooting Guard and Point Guard,1058640
4153,2006-07,Jarrett Jack,Right,Shooting Guard and Point Guard,1137960
4154,2007-08,Jarrett Jack,Right,Shooting Guard and Point Guard,1217400
4155,2008-09,Jarrett Jack,Right,Shooting Guard and Point Guard,2002623
4156,2009-10,Jarrett Jack,Right,Shooting Guard and Point Guard,4500000
4157,2010-11,Jarrett Jack,Right,Shooting Guard and Point Guard,4600000
4158,2011-12,Jarrett Jack,Right,Shooting Guard and Point Guard,5000000
4159,2012-13,Jarrett Jack,Right,Shooting Guard and Point Guard,5400000
4160,2013-14,Jarrett Jack,Right,Shooting Guard and Point Guard,6300000
4161,2014-15,Jarrett Jack,Right,Shooting Guard and Point Guard,6300000
4162,2015-16,Jarrett Jack,Right,Shooting Guard and Point Guard,6300000
4163,2016-17,Jarrett Jack,Right,Shooting Guard and Point Guard,1551659
4164,2016-17,Jarrett Jack,Right,Shooting Guard and Point Guard,500000
4165,2016-17,Jarrett Jack,Right,Shooting Guard and Point Guard,91274
4166,2017-18,Jarrett Jack,Right,Shooting Guard and Point Guard,1471382
4167,2017-18,Aaron Jackson,Right,Point Guard,4608
4168,1999-00,Bobby Jackson,Right,Shooting Guard and Point Guard,903360
4169,2000-01,Bobby Jackson,Right,Shooting Guard and Point Guard,2250000
4170,2001-02,Bobby Jackson,Right,Shooting Guard and Point Guard,2475000
4171,2002-03,Bobby Jackson,Right,Shooting Guard and Point Guard,2700000
4172,2003-04,Bobby Jackson,Right,Shooting Guard and Point Guard,2925000
4173,2004-05,Bobby Jackson,Right,Shooting Guard and Point Guard,3150000
4174,2005-06,Bobby Jackson,Right,Shooting Guard and Point Guard,3375000
4175,2006-07,Bobby Jackson,Right,Shooting Guard and Point Guard,5259000
4176,2007-08,Bobby Jackson,Right,Shooting Guard and Point Guard,5670000
4177,2008-09,Bobby Jackson,Right,Shooting Guard and Point Guard,6487888
4178,2009-10,Cedric Jackson,Right,Point Guard,53834
4179,2008-09,Darnell Jackson,Right,Power Forward,450000
4180,2009-10,Darnell Jackson,Right,Power Forward,736420
4181,2010-11,Darnell Jackson,Right,Power Forward,854389
4182,2017-18,Frank Jackson,Right,Point Guard,815615
4183,1999-00,Jaren Jackson,Right,Shooting Guard,2483333
4184,2000-01,Jaren Jackson,Right,Shooting Guard,1750000
4185,2001-02,Jaren Jackson,Right,Shooting Guard,3020834
4186,1999-00,Jermaine Jackson,Right,Point Guard and Shooting Guard,302875
4187,2000-01,Jermaine Jackson,Right,Point Guard and Shooting Guard,423500
4188,2002-03,Jermaine Jackson,Right,Point Guard and Shooting Guard,171932
4189,2005-06,Jermaine Jackson,Right,Point Guard and Shooting Guard,771123
4190,2005-06,Jermaine Jackson,Right,Point Guard and Shooting Guard,583944
4191,1999-00,Jim Jackson,Right,Shooting Guard and Small Forward,1925000
4192,2000-01,Jim Jackson,Right,Shooting Guard and Small Forward,2330000
4193,2001-02,Jim Jackson,Right,Shooting Guard and Small Forward,789170
4194,2002-03,Jim Jackson,Right,Shooting Guard and Small Forward,791341
4195,2003-04,Jim Jackson,Right,Shooting Guard and Small Forward,2200000
4196,2004-05,Jim Jackson,Right,Shooting Guard and Small Forward,2420000
4197,2005-06,Jim Jackson,Right,Shooting Guard and Small Forward,2640000
4198,2017-18,Josh Jackson,Right,Small Forward and Shooting Guard,5090040
4199,2017-18,Justin Jackson,Right,Small Forward,2365560
4200,2004-05,Luke Jackson,Left,Small Forward,1818720
4201,2005-06,Luke Jackson,Left,Small Forward,1955160
4202,2006-07,Luke Jackson,Left,Small Forward,2091480
4203,2006-07,Luke Jackson,Left,Small Forward,40501
4204,2007-08,Luke Jackson,Left,Small Forward,279415
4205,2000-01,Marc Jackson,Right,Power Forward and Center,316969
4206,2001-02,Marc Jackson,Right,Power Forward and Center,3250000
4207,2002-03,Marc Jackson,Right,Power Forward and Center,3575000
4208,2003-04,Marc Jackson,Right,Power Forward and Center,3900000
4209,2004-05,Marc Jackson,Right,Power Forward and Center,4225000
4210,2005-06,Marc Jackson,Right,Power Forward and Center,4550000
4211,2006-07,Marc Jackson,Right,Power Forward and Center,4875000
4212,1999-00,Mark Jackson,Right,Point Guard,4000000
4213,2000-01,Mark Jackson,Right,Point Guard,3570000
4214,2001-02,Mark Jackson,Right,Point Guard,3860000
4215,2002-03,Mark Jackson,Right,Point Guard,3500000
4216,2002-03,Mark Jackson,Right,Point Guard,1030000
4217,2003-04,Mark Jackson,Right,Point Guard,1500000
4218,2014-15,Pierre Jackson,Right,Point Guard,400000
4219,2015-16,Pierre Jackson,Right,Point Guard,750000
4220,2016-17,Pierre Jackson,Right,Point Guard,105498
4221,1999-00,Randell Jackson,Right,Power Forward,115500
4222,2011-12,Reggie Jackson,Right,Point Guard,1156320
4223,2012-13,Reggie Jackson,Right,Point Guard,1243080
4224,2013-14,Reggie Jackson,Right,Point Guard,1260360
4225,2014-15,Reggie Jackson,Right,Point Guard,2204370
4226,2015-16,Reggie Jackson,Right,Point Guard,14000000
4227,2016-17,Reggie Jackson,Right,Point Guard,14956522
4228,2017-18,Reggie Jackson,Right,Point Guard,16000000
4229,2000-01,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,316969
4230,2001-02,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,590850
4231,2002-03,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,699935
4232,2003-04,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,1000000
4233,2004-05,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,5100000
4234,2005-06,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,5610000
4235,2006-07,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,6120000
4236,2007-08,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,6630000
4237,2008-09,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,7140000
4238,2009-10,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,7650000
4239,2010-11,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,8453250
4240,2011-12,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,9256500
4241,2012-13,Stephen Jackson,Right,Small Forward and Shooting Guard and Power Forward,10059750
4242,2002-03,Casey Jacobsen,Right,Shooting Guard and Small Forward,941040
4243,2003-04,Casey Jacobsen,Right,Shooting Guard and Small Forward,1011600
4244,2004-05,Casey Jacobsen,Right,Shooting Guard and Small Forward,1082160
4245,2006-07,Casey Jacobsen,Right,Shooting Guard and Small Forward,31250
4246,2007-08,Casey Jacobsen,Right,Shooting Guard and Small Forward,826269
4247,1999-00,Sam Jacobson,Right,Point Guard,721080
4248,1999-00,Sam Jacobson,Right,Point Guard,22647
4249,2000-01,Sam Jacobson,Right,Point Guard,498500
4250,2000-01,Sam Jacobson,Right,Point Guard,270000
4251,2012-13,Bernard James,Left,Center,473604
4252,2013-14,Bernard James,Left,Center,788872
4253,2014-15,Bernard James,Left,Center,915243
4254,2014-15,Bernard James,Left,Center,236866
4255,2010-11,Damion James,Right,Small Forward,1156320
4256,2011-12,Damion James,Right,Small Forward,1243080
4257,2012-13,Damion James,Right,Small Forward,50258
4258,2001-02,Jerome James,Right,Center,465850
4259,2002-03,Jerome James,Right,Center,4546000
4260,2003-04,Jerome James,Right,Center,5000600
4261,2004-05,Jerome James,Right,Center,5455200
4262,2005-06,Jerome James,Right,Center,5000000
4263,2006-07,Jerome James,Right,Center,5400000
4264,2007-08,Jerome James,Right,Center,5800000
4265,2008-09,Jerome James,Right,Center,6200000
4266,2009-10,Jerome James,Right,Center,6600000
4267,2003-04,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,4018920
4268,2004-05,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,4320360
4269,2005-06,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,4621800
4270,2006-07,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,5828090
4271,2007-08,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,13041250
4272,2008-09,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,14410581
4273,2009-10,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,15779912
4274,2010-11,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,14500000
4275,2011-12,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,16022500
4276,2012-13,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,17545000
4277,2013-14,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,19067500
4278,2014-15,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,20644400
4279,2015-16,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,22971000
4280,2016-17,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,30963450
4281,2017-18,LeBron James,Right,Shooting Guard and Small Forward and Power Forward,33285709
4282,2002-03,Mike James,Right,Point Guard,512435
4283,2003-04,Mike James,Right,Point Guard,638679
4284,2004-05,Mike James,Right,Point Guard,3100000
4285,2005-06,Mike James,Right,Point Guard,3410000
4286,2006-07,Mike James,Right,Point Guard,5215000
4287,2007-08,Mike James,Right,Point Guard,5632200
4288,2008-09,Mike James,Right,Point Guard,6244093
4289,2009-10,Mike James,Right,Point Guard,6466600
4290,2011-12,Mike James,Right,Point Guard,277566
4291,2012-13,Mike James,Right,Point Guard,795401
4292,1999-00,Tim James,Right,Small Forward,728520
4293,2000-01,Tim James,Right,Small Forward,783120
4294,2001-02,Tim James,Right,Small Forward,837720
4295,2001-02,Tim James,Right,Small Forward,105532
4296,1999-00,Antawn Jamison,Right,Power Forward and Small Forward,2503800
4297,2000-01,Antawn Jamison,Right,Power Forward and Small Forward,2678400
4298,2001-02,Antawn Jamison,Right,Power Forward and Small Forward,3388176
4299,2002-03,Antawn Jamison,Right,Power Forward and Small Forward,10067750
4300,2003-04,Antawn Jamison,Right,Power Forward and Small Forward,11326219
4301,2004-05,Antawn Jamison,Right,Power Forward and Small Forward,12584688
4302,2005-06,Antawn Jamison,Right,Power Forward and Small Forward,13843156
4303,2006-07,Antawn Jamison,Right,Power Forward and Small Forward,15101625
4304,2007-08,Antawn Jamison,Right,Power Forward and Small Forward,16360094
4305,2008-09,Antawn Jamison,Right,Power Forward and Small Forward,9923285
4306,2009-10,Antawn Jamison,Right,Power Forward and Small Forward,11641095
4307,2010-11,Antawn Jamison,Right,Power Forward and Small Forward,13358905
4308,2011-12,Antawn Jamison,Right,Power Forward and Small Forward,15076715
4309,2012-13,Antawn Jamison,Right,Power Forward and Small Forward,1352181
4310,2013-14,Antawn Jamison,Right,Power Forward and Small Forward,1399507
4311,1999-00,Harold Jamison,Right,Power Forward,301875
4312,2001-02,Harold Jamison,Right,Power Forward,600000
4313,2002-03,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,1750000
4314,2003-04,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,1925000
4315,2004-05,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,2100000
4316,2005-06,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,5000000
4317,2006-07,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,5525000
4318,2007-08,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,6050000
4319,2008-09,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,6575000
4320,2009-10,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,7100000
4321,2010-11,Marko Jaric,Right,Shooting Guard and Small Forward and Point Guard,7625000
4322,2005-06,Sarunas Jasikevicius,Right,Shooting Guard and Point Guard,4000000
4323,2006-07,Sarunas Jasikevicius,Right,Shooting Guard and Point Guard,4000000
4324,2008-09,Nathan Jawai,Right,Power Forward and Center,442114
4325,2009-10,Nathan Jawai,Right,Power Forward and Center,736420
4326,2002-03,Chris Jefferies,Right,Shooting Guard and Small Forward,781800
4327,2003-04,Chris Jefferies,Right,Shooting Guard and Small Forward,840360
4328,2004-05,Al Jefferson,Right,Power Forward and Center,1407240
4329,2005-06,Al Jefferson,Right,Power Forward and Center,1512840
4330,2006-07,Al Jefferson,Right,Power Forward and Center,1618320
4331,2007-08,Al Jefferson,Right,Power Forward and Center,2480885
4332,2008-09,Al Jefferson,Right,Power Forward and Center,11000000
4333,2009-10,Al Jefferson,Right,Power Forward and Center,12000000
4334,2010-11,Al Jefferson,Right,Power Forward and Center,13000000
4335,2011-12,Al Jefferson,Right,Power Forward and Center,14000000
4336,2012-13,Al Jefferson,Right,Power Forward and Center,15000000
4337,2013-14,Al Jefferson,Right,Power Forward and Center,13500000
4338,2014-15,Al Jefferson,Right,Power Forward and Center,13666667
4339,2015-16,Al Jefferson,Right,Power Forward and Center,13833333
4340,2016-17,Al Jefferson,Right,Power Forward and Center,10230179
4341,2017-18,Al Jefferson,Right,Power Forward and Center,9769821
4342,2017-18,Amile Jefferson,Right,Power Forward,4608
4343,2014-15,Cory Jefferson,Right,Power Forward,507336
4344,2015-16,Cory Jefferson,Right,Power Forward,421449
4345,2001-02,Richard Jefferson,Right,Small Forward,1379400
4346,2002-03,Richard Jefferson,Right,Small Forward,1482840
4347,2003-04,Richard Jefferson,Right,Small Forward,1586280
4348,2004-05,Richard Jefferson,Right,Small Forward,2266794
4349,2005-06,Richard Jefferson,Right,Small Forward,10200000
4350,2006-07,Richard Jefferson,Right,Small Forward,11200000
4351,2007-08,Richard Jefferson,Right,Small Forward,12200000
4352,2008-09,Richard Jefferson,Right,Small Forward,13200000
4353,2009-10,Richard Jefferson,Right,Small Forward,14200000
4354,2010-11,Richard Jefferson,Right,Small Forward,8400000
4355,2011-12,Richard Jefferson,Right,Small Forward,9282000
4356,2012-13,Richard Jefferson,Right,Small Forward,10164000
4357,2013-14,Richard Jefferson,Right,Small Forward,11046000
4358,2014-15,Richard Jefferson,Right,Small Forward,1448490
4359,2015-16,Richard Jefferson,Right,Small Forward,1499000
4360,2016-17,Richard Jefferson,Right,Small Forward,2500000
4361,2017-18,Richard Jefferson,Right,Small Forward,2500000
4362,2017-18,Richard Jefferson,Right,Small Forward,1454756
4363,2002-03,Jared Jeffries,Right,Small Forward and Power Forward,1594920
4364,2003-04,Jared Jeffries,Right,Small Forward and Power Forward,1714440
4365,2004-05,Jared Jeffries,Right,Small Forward and Power Forward,1834080
4366,2005-06,Jared Jeffries,Right,Small Forward and Power Forward,2433824
4367,2006-07,Jared Jeffries,Right,Small Forward and Power Forward,5215000
4368,2007-08,Jared Jeffries,Right,Small Forward and Power Forward,5632200
4369,2008-09,Jared Jeffries,Right,Small Forward and Power Forward,6049400
4370,2009-10,Jared Jeffries,Right,Small Forward and Power Forward,6466600
4371,2010-11,Jared Jeffries,Right,Small Forward and Power Forward,6883800
4372,2011-12,Jared Jeffries,Right,Small Forward and Power Forward,1229255
4373,2012-13,Jared Jeffries,Right,Small Forward and Power Forward,1475106
4374,2011-12,Charles Jenkins,Right,Point Guard and Shooting Guard,473604
4375,2012-13,Charles Jenkins,Right,Point Guard and Shooting Guard,762195
4376,2004-05,Horace Jenkins,Right,Point Guard,385277
4377,2012-13,John Jenkins,Right,Shooting Guard,1204560
4378,2013-14,John Jenkins,Right,Shooting Guard,1258800
4379,2014-15,John Jenkins,Right,Shooting Guard,1312920
4380,2015-16,John Jenkins,Right,Shooting Guard,981000
4381,2016-17,John Jenkins,Right,Shooting Guard,469841
4382,2009-10,Brandon Jennings,Left,Point Guard,2168520
4383,2010-11,Brandon Jennings,Left,Point Guard,2331120
4384,2011-12,Brandon Jennings,Left,Point Guard,2493720
4385,2012-13,Brandon Jennings,Left,Point Guard,3179493
4386,2013-14,Brandon Jennings,Left,Point Guard,7655503
4387,2014-15,Brandon Jennings,Left,Point Guard,8000000
4388,2015-16,Brandon Jennings,Left,Point Guard,8344497
4389,2016-17,Brandon Jennings,Left,Point Guard,4837318
4390,2016-17,Brandon Jennings,Left,Point Guard,1200000
4391,2017-18,Brandon Jennings,Left,Point Guard,297169
4392,2009-10,Jonas Jerebko,Right,Power Forward,457588
4393,2010-11,Jonas Jerebko,Right,Power Forward,762195
4394,2011-12,Jonas Jerebko,Right,Power Forward,4500000
4395,2012-13,Jonas Jerebko,Right,Power Forward,4500000
4396,2013-14,Jonas Jerebko,Right,Power Forward,4500000
4397,2014-15,Jonas Jerebko,Right,Power Forward,4500000
4398,2015-16,Jonas Jerebko,Right,Power Forward,5000000
4399,2016-17,Jonas Jerebko,Right,Power Forward,5000000
4400,2017-18,Jonas Jerebko,Right,Power Forward,4000000
4401,2014-15,Grant Jerrett,Right,Power Forward,816481
4402,2015-16,Grant Jerrett,Right,Power Forward,947276
4403,2010-11,Eugene Jeter,Right,Point Guard,473604
4404,2007-08,Yi Jianlian,Right,Power Forward,2777760
4405,2008-09,Yi Jianlian,Right,Power Forward,2986080
4406,2009-10,Yi Jianlian,Right,Power Forward,3194400
4407,2010-11,Yi Jianlian,Right,Power Forward,4050499
4408,2011-12,Yi Jianlian,Right,Power Forward,827197
4409,2016-17,Yi Jianlian,Right,Power Forward,250000
4410,2003-04,Britton Johnsen,Right,Small Forward and Center,44748
4411,2004-05,Britton Johnsen,Right,Small Forward and Center,45369
4412,2006-07,Alexander Johnson,Right,Power Forward,412718
4413,2007-08,Alexander Johnson,Right,Power Forward,687456
4414,2005-06,Amir Johnson,Right,Center and Small Forward and Power Forward,398762
4415,2006-07,Amir Johnson,Right,Center and Small Forward and Power Forward,664209
4416,2007-08,Amir Johnson,Right,Center and Small Forward and Power Forward,3666666
4417,2008-09,Amir Johnson,Right,Center and Small Forward and Power Forward,3666667
4418,2009-10,Amir Johnson,Right,Center and Small Forward and Power Forward,3666666
4419,2010-11,Amir Johnson,Right,Center and Small Forward and Power Forward,5000000
4420,2011-12,Amir Johnson,Right,Center and Small Forward and Power Forward,5500000
4421,2012-13,Amir Johnson,Right,Center and Small Forward and Power Forward,6000000
4422,2013-14,Amir Johnson,Right,Center and Small Forward and Power Forward,6500000
4423,2014-15,Amir Johnson,Right,Center and Small Forward and Power Forward,7000000
4424,2015-16,Amir Johnson,Right,Center and Small Forward and Power Forward,12000000
4425,2016-17,Amir Johnson,Right,Center and Small Forward and Power Forward,12000000
4426,2017-18,Amir Johnson,Right,Center and Small Forward and Power Forward,11000000
4427,1999-00,Anthony Johnson,Right,Point Guard and Shooting Guard,1100000
4428,2000-01,Anthony Johnson,Right,Point Guard and Shooting Guard,1200000
4429,2002-03,Anthony Johnson,Right,Point Guard and Shooting Guard,699935
4430,2003-04,Anthony Johnson,Right,Point Guard and Shooting Guard,813679
4431,2004-05,Anthony Johnson,Right,Point Guard and Shooting Guard,2200000
4432,2005-06,Anthony Johnson,Right,Point Guard and Shooting Guard,2420000
4433,2006-07,Anthony Johnson,Right,Point Guard and Shooting Guard,2640000
4434,2007-08,Anthony Johnson,Right,Point Guard and Shooting Guard,2860000
4435,2008-09,Anthony Johnson,Right,Point Guard and Shooting Guard,1910000
4436,2009-10,Anthony Johnson,Right,Point Guard and Shooting Guard,2160000
4437,2010-11,Armon Johnson,Left,Point Guard,473604
4438,2011-12,Armon Johnson,Left,Point Guard,762195
4439,1999-00,Avery Johnson,Left,Point Guard,3200000
4440,2000-01,Avery Johnson,Left,Point Guard,8000000
4441,2001-02,Avery Johnson,Left,Point Guard,4538000
4442,2002-03,Avery Johnson,Left,Point Guard,4991800
4443,2003-04,Avery Johnson,Left,Point Guard,5445600
4444,2004-05,Avery Johnson,Left,Point Guard,1100000
4445,2016-17,Brice Johnson,Right,Power Forward,1273920
4446,2017-18,Brice Johnson,Right,Power Forward,1331160
4447,2011-12,Carldell Johnson,Right,Point Guard,168035
4448,2010-11,Chris Johnson,Right,Center,136509
4449,2010-11,Chris Johnson,Right,Center,27859
4450,2011-12,Chris Johnson,Right,Center,762195
4451,2012-13,Chris Johnson,Right,Center,447298
4452,2013-14,Chris Johnson,Right,Center,916099
4453,2012-13,Chris Johnson,Left,Small Forward,61290
4454,2014-15,Chris Johnson,Left,Small Forward,166897
4455,2014-15,Chris Johnson,Left,Small Forward,107674
4456,2015-16,Chris Johnson,Left,Small Forward,981348
4457,2017-18,Chris Johnson,Left,Small Forward,25000
4458,2017-18,Dakari Johnson,Right,Center,815615
4459,1999-00,DeMarco Johnson,Right,Power Forward,111871
4460,2000-01,DerMarr Johnson,Right,Shooting Guard and Small Forward,2107200
4461,2001-02,DerMarr Johnson,Right,Shooting Guard and Small Forward,2265240
4462,2002-03,DerMarr Johnson,Right,Shooting Guard and Small Forward,2423280
4463,2004-05,DerMarr Johnson,Right,Shooting Guard and Small Forward,745046
4464,2005-06,DerMarr Johnson,Right,Shooting Guard and Small Forward,835810
4465,2006-07,DerMarr Johnson,Right,Shooting Guard and Small Forward,865063
4466,2007-08,DerMarr Johnson,Right,Shooting Guard and Small Forward,42203
4467,1999-00,Eddie Johnson,Right,Shooting Guard and Small Forward,1000000
4468,1999-00,Ervin Johnson,Right,Center,2951029
4469,2000-01,Ervin Johnson,Right,Center,2700000
4470,2001-02,Ervin Johnson,Right,Center,3670929
4471,2002-03,Ervin Johnson,Right,Center,3998679
4472,2003-04,Ervin Johnson,Right,Center,4418156
4473,2004-05,Ervin Johnson,Right,Center,4837633
4474,2005-06,Ervin Johnson,Right,Center,1138500
4475,2011-12,Ivan Johnson,Right,Power Forward,473604
4476,2012-13,Ivan Johnson,Right,Power Forward,962195
4477,2014-15,Ivan Johnson,Right,Power Forward,25000
4478,2011-12,JaJuan Johnson,Right,Power Forward,1042320
4479,2012-13,JaJuan Johnson,Right,Power Forward,1120440
4480,2009-10,James Johnson,Right,Power Forward and Small Forward,1594080
4481,2010-11,James Johnson,Right,Power Forward and Small Forward,1713600
4482,2011-12,James Johnson,Right,Power Forward and Small Forward,1833120
4483,2012-13,James Johnson,Right,Power Forward and Small Forward,2812006
4484,2014-15,James Johnson,Right,Power Forward and Small Forward,2500000
4485,2015-16,James Johnson,Right,Power Forward and Small Forward,2500000
4486,2016-17,James Johnson,Right,Power Forward and Small Forward,4000000
4487,2017-18,James Johnson,Right,Power Forward and Small Forward,13954000
4488,2001-02,Joe Johnson,Right,Shooting Guard and Small Forward,1608840
4489,2002-03,Joe Johnson,Right,Shooting Guard and Small Forward,1729560
4490,2003-04,Joe Johnson,Right,Shooting Guard and Small Forward,1850160
4491,2004-05,Joe Johnson,Right,Shooting Guard and Small Forward,2358954
4492,2005-06,Joe Johnson,Right,Shooting Guard and Small Forward,12000000
4493,2006-07,Joe Johnson,Right,Shooting Guard and Small Forward,12744189
4494,2007-08,Joe Johnson,Right,Shooting Guard and Small Forward,13488377
4495,2008-09,Joe Johnson,Right,Shooting Guard and Small Forward,14232567
4496,2009-10,Joe Johnson,Right,Shooting Guard and Small Forward,14976754
4497,2010-11,Joe Johnson,Right,Shooting Guard and Small Forward,16324500
4498,2011-12,Joe Johnson,Right,Shooting Guard and Small Forward,18038573
4499,2012-13,Joe Johnson,Right,Shooting Guard and Small Forward,19752645
4500,2013-14,Joe Johnson,Right,Shooting Guard and Small Forward,21466718
4501,2014-15,Joe Johnson,Right,Shooting Guard and Small Forward,23180790
4502,2015-16,Joe Johnson,Right,Shooting Guard and Small Forward,24894863
4503,2015-16,Joe Johnson,Right,Shooting Guard and Small Forward,414481
4504,2016-17,Joe Johnson,Right,Shooting Guard and Small Forward,11000000
4505,2017-18,Joe Johnson,Right,Shooting Guard and Small Forward,9505000
4506,2017-18,Joe Johnson,Right,Shooting Guard and Small Forward,473835
4507,2002-03,Ken Johnson,Right,Center,349458
4508,1999-00,Larry Johnson,Right,Small Forward and Power Forward,11910714
4509,2000-01,Larry Johnson,Right,Small Forward and Power Forward,11000000
4510,2001-02,Larry Johnson,Right,Small Forward and Power Forward,11335714
4511,2002-03,Larry Johnson,Right,Small Forward and Power Forward,9610714
4512,2003-04,Linton Johnson,Right,Small Forward and Power Forward,366931
4513,2004-05,Linton Johnson,Right,Small Forward and Power Forward,620046
4514,2005-06,Linton Johnson,Right,Small Forward and Power Forward,719373
4515,2006-07,Linton Johnson,Right,Small Forward and Power Forward,771331
4516,2007-08,Linton Johnson,Right,Small Forward and Power Forward,283953
4517,2008-09,Linton Johnson,Right,Small Forward and Power Forward,125374
4518,2014-15,Nick Johnson,Right,Shooting Guard,507336
4519,2015-16,Nick Johnson,Right,Shooting Guard,845059
4520,2016-17,Nick Johnson,Right,Shooting Guard,980431
4521,2017-18,Omari Johnson,Right,Power Forward,27648
4522,2012-13,Orlando Johnson,Right,Shooting Guard,550000
4523,2013-14,Orlando Johnson,Right,Shooting Guard,788872
4524,2015-16,Orlando Johnson,Right,Shooting Guard,55722
